location_name,sex_name,measure_name,weighting,age_name,age_midpoint,age_specific_slope_pct_per_year,formal_inference_performed,inference_note,method_label
China,Female,DALYs,equal,10-14 years,12.0,-0.20780577310330894,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,15-19 years,17.0,-0.1757431428809797,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,20-24 years,22.0,-0.11141682113056106,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,25-29 years,27.0,-0.02816921809013495,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,30-34 years,32.0,0.03408890842135914,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,35-39 years,37.0,0.040507715784388054,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,40-44 years,42.0,0.03198799669972274,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,45-49 years,47.0,0.020906405108056525,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,50-54 years,52.0,0.05252937245199263,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,55-59 years,57.0,0.08962008063251314,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
China,Female,DALYs,equal,60-64 years,62.0,0.09795436264323776,False,Descriptive model of GBD posterior-mean point estimates; no GBD-level hypothesis test or confidence interval is available without posterior draws.,Custom descriptive weighted least-squares age-period-cohort summaries; not asserted equivalent to conventional NCI APC estimable functions.
